,year,points_tele_final,points_jury_final,points_tele_sf,points_jury_sf
822,2000,,,,
823,2000,,,,
824,2000,,,,
825,2000,,,,
826,2000,,,,
827,2000,,,,
828,2000,,,,
829,2000,,,,
830,2000,,,,
831,2000,,,,
832,2000,,,,
833,2000,,,,
834,2000,,,,
835,2000,,,,
836,2000,,,,
837,2000,,,,
838,2000,,,,
839,2000,,,,
840,2000,,,,
841,2000,,,,
842,2001,,,,
843,2001,,,,
844,2001,,,,
845,2001,,,,
846,2001,,,,
847,2001,,,,
848,2001,,,,
849,2001,,,,
850,2001,,,,
851,2001,,,,
852,2001,,,,
853,2001,,,,
854,2001,,,,
855,2001,,,,
856,2001,,,,
857,2001,,,,
858,2001,,,,
859,2001,,,,
860,2001,,,,
861,2001,,,,
862,2001,,,,
863,2001,,,,
864,2001,,,,
865,2002,,,,
866,2002,,,,
867,2002,,,,
868,2002,,,,
869,2002,,,,
870,2002,,,,
871,2002,,,,
872,2002,,,,
873,2002,,,,
874,2002,,,,
875,2002,,,,
876,2002,,,,
877,2002,,,,
878,2002,,,,
879,2002,,,,
880,2002,,,,
881,2002,,,,
882,2002,,,,
883,2002,,,,
884,2002,,,,
885,2002,,,,
886,2002,,,,
887,2002,,,,
888,2002,,,,
889,2003,,,,
890,2003,,,,
891,2003,,,,
892,2003,,,,
893,2003,,,,
894,2003,,,,
895,2003,,,,
896,2003,,,,
897,2003,,,,
898,2003,,,,
899,2003,,,,
900,2003,,,,
901,2003,,,,
902,2003,,,,
903,2003,,,,
904,2003,,,,
905,2003,,,,
906,2003,,,,
907,2003,,,,
908,2003,,,,
909,2003,,,,
910,2003,,,,
911,2003,,,,
912,2003,,,,
913,2003,,,,
914,2003,,,,
915,2004,,,,
916,2004,,,,
917,2004,,,,
918,2004,,,,
919,2004,,,,
920,2004,,,,
921,2004,,,,
922,2004,,,,
923,2004,,,,
924,2004,,,,
925,2004,,,,
926,2004,,,,
927,2004,,,,
928,2004,,,,
929,2004,,,,
930,2004,,,,
931,2004,,,,
932,2004,,,,
933,2004,,,,
934,2004,,,,
935,2004,,,,
936,2004,,,,
937,2004,,,,
938,2004,,,,
939,2004,,,,
940,2004,,,,
941,2004,,,,
942,2004,,,,
943,2004,,,,
944,2004,,,,
945,2004,,,,
946,2004,,,,
947,2004,,,,
948,2004,,,,
949,2004,,,,
950,2004,,,,
951,2005,,,,
952,2005,,,,
953,2005,,,,
954,2005,,,,
955,2005,,,,
956,2005,,,,
957,2005,,,,
958,2005,,,,
959,2005,,,,
960,2005,,,,
961,2005,,,,
962,2005,,,,
963,2005,,,,
964,2005,,,,
965,2005,,,,
966,2005,,,,
967,2005,,,,
968,2005,,,,
969,2005,,,,
970,2005,,,,
971,2005,,,,
972,2005,,,,
973,2005,,,,
974,2005,,,,
975,2005,,,,
976,2005,,,,
977,2005,,,,
978,2005,,,,
979,2005,,,,
980,2005,,,,
981,2005,,,,
982,2005,,,,
983,2005,,,,
984,2005,,,,
985,2005,,,,
986,2005,,,,
987,2005,,,,
988,2005,,,,
989,2005,,,,
990,2006,,,,
991,2006,,,,
992,2006,,,,
993,2006,,,,
994,2006,,,,
995,2006,,,,
996,2006,,,,
997,2006,,,,
998,2006,,,,
999,2006,,,,
1000,2006,,,,
1001,2006,,,,
1002,2006,,,,
1003,2006,,,,
1004,2006,,,,
1005,2006,,,,
1006,2006,,,,
1007,2006,,,,
1008,2006,,,,
1009,2006,,,,
1010,2006,,,,
1011,2006,,,,
1012,2006,,,,
1013,2006,,,,
1014,2006,,,,
1015,2006,,,,
1016,2006,,,,
1017,2006,,,,
1018,2006,,,,
1019,2006,,,,
1020,2006,,,,
1021,2006,,,,
1022,2006,,,,
1023,2006,,,,
1024,2006,,,,
1025,2006,,,,
1026,2006,,,,
1027,2007,,,,
1028,2007,,,,
1029,2007,,,,
1030,2007,,,,
1031,2007,,,,
1032,2007,,,,
1033,2007,,,,
1034,2007,,,,
1035,2007,,,,
1036,2007,,,,
1037,2007,,,,
1038,2007,,,,
1039,2007,,,,
1040,2007,,,,
1041,2007,,,,
1042,2007,,,,
1043,2007,,,,
1044,2007,,,,
1045,2007,,,,
1046,2007,,,,
1047,2007,,,,
1048,2007,,,,
1049,2007,,,,
1050,2007,,,,
1051,2007,,,,
1052,2007,,,,
1053,2007,,,,
1054,2007,,,,
1055,2007,,,,
1056,2007,,,,
1057,2007,,,,
1058,2007,,,,
1059,2007,,,,
1060,2007,,,,
1061,2007,,,,
1062,2007,,,,
1063,2007,,,,
1064,2007,,,,
1065,2007,,,,
1066,2007,,,,
1067,2007,,,,
1068,2007,,,,
1069,2008,,,,
1070,2008,,,,
1071,2008,,,,
1072,2008,,,,
1073,2008,,,,
1074,2008,,,,
1075,2008,,,,
1076,2008,,,,
1077,2008,,,,
1078,2008,,,,
1079,2008,,,,
1080,2008,,,,
1081,2008,,,,
1082,2008,,,,
1083,2008,,,,
1084,2008,,,,
1085,2008,,,,
1086,2008,,,,
1087,2008,,,,
1088,2008,,,,
1089,2008,,,,
1090,2008,,,,
1091,2008,,,,
1092,2008,,,,
1093,2008,,,,
1094,2008,,,,
1095,2008,,,,
1096,2008,,,,
1097,2008,,,,
1098,2008,,,,
1099,2008,,,,
1100,2008,,,,
1101,2008,,,,
1102,2008,,,,
1103,2008,,,,
1104,2008,,,,
1105,2008,,,,
1106,2008,,,,
1107,2008,,,,
1108,2008,,,,
1109,2008,,,,
1110,2008,,,,
1111,2008,,,,
1112,2009,,,,
1113,2009,,,,
1114,2009,,,,
1115,2009,,,,
1116,2009,,,,
1117,2009,,,,
1118,2009,,,,
1119,2009,,,,
1120,2009,,,,
1121,2009,,,,
1122,2009,,,,
1123,2009,,,,
1124,2009,,,,
1125,2009,,,,
1126,2009,,,,
1127,2009,,,,
1128,2009,,,,
1129,2009,,,,
1130,2009,,,,
1131,2009,,,,
1132,2009,,,,
