country,song,tone,bpm
DE,Theater,Bb major,95.0
GB,Love Enough for Two,E major,137.0
CH,Cinéma,Bb major,145.0
NL,Amsterdam,F minor,162.0
IT,Non so che darei,A major,172.0
PT,"Um grande, grande amor",A major,135.0
AT,Du bist Musik,F minor,133.0
LU,Papa Pingouin,D major,117.0
SE,Just nu!,F major,140.0
FR,"Hé, hé m'sieurs dames",Eb minor,165.0
ES,Quédate esta noche,E minor,128.0
GR,Otostop,B major,185.0
DK,Tænker altid på dig,F major,91.0
TR,Petr'oil,D major,113.0
NO,Sámiid ædnan,D major,91.0
BE,Euro,D minor,137.0
MA,Bitakat Hob,A minor,122.0
FI,Matti Loiri,,
GB,Making Your Mind Up,A major,178.0
DE,Johnny Blue,D minor,115.0
FR,Humanahum,Eb major,132.0
CH,Io senza te,F# major,136.0
IE,Horoscopes,G major,132.0
CY,Monika,F major,172.0
IL,Halaylah,Eb major,126.0
GR,Feggari kalokerino,B minor,91.0
NL,Het is een wonder,E major,95.0
SE,Fångad i en dröm,C major,125.0
LU,Claude Pascal,C major,89.0
DK,Krøller eller ej,,
BE,Samson,C minor,139.0
ES,Y sólo tú,,
YU,Memic Vajta,A major,133.0
FI,Reggae O.K.,C major,131.0
AT,Wenn du da bist,Eb major,91.0
TR,Dönme Dolap,Bb major,103.0
PT,Play,A minor,135.0
NO,Aldri i livet,F major,135.0
DE,Ein bißchen Frieden,F# minor,118.0
IL,Hora,F# minor,125.0
CH,Amour on t'aime,A major,96.0
BE,Si tu aimes ma musique,B minor,128.0
CY,Mono i agapi,Bb minor,88.0
LU,Cours après le temps,C major,126.0
GB,One Step Further,E major,147.0
SE,Dag efter dag,F# minor,132.0
AT,Sonntag,C major,156.0
ES,Él,Eb minor,130.0
IE,"Here Today, Gone Tomorrow",C minor,134.0
NO,Adieu,C major,86.0
PT,Bem bom,B minor,110.0
YU,"Halo, halo",C# major,89.0
TR,Hani?,C minor,149.0
NL,Jij en ik,G major,117.0
DK,Video video,C major,88.0
FI,Nuku pommiin,D major,153.0
LU,Si la vie est cadeau,Eb minor,142.0
IL,Hi,Bb minor,112.0
SE,Främling,F minor,109.0
YU,Džuli,F major,90.0
DE,Rücksicht,Ab major,154.0
GB,I'm Never Giving Up,G major,143.0
NL,Sing Me a Song,A major,123.0
FR,Vivre,D minor,128.0
NO,Do Re Mi,G major,135.0
AT,Hurricane,Eb major,134.0
IT,Per Lucia,A minor,110.0
FI,Fantasiaa,C minor,135.0
PT,Esta balada que te dou,E major,84.0
GR,Mou Les,C# minor,129.0
CH,Io così non ci sto,B major,96.0
CY,I agapi akoma zi,F major,91.0
DK,Kloden drejer,D major,118.0
BE,Rendez,E major,149.0
TR,Opera,D major,91.0
ES,¿Quién maneja mi barca?,F minor,147.0
SE,Diggi,,
IE,Terminal 3,E major,143.0
ES,"Lady, Lady",D major,131.0
DK,Det' lige det,A major,144.0
BE,Avanti la vie,A major,91.0
IT,I treni di Tozeur,,
GB,Love Games,A major,137.0
FR,Autant d'amoureux que d'étoiles,Bb major,133.0
FI,Hengaillaan,Bb major,129.0
LU,100% d'amour,,
PT,Silêncio e tanta gente,C major,135.0
TR,Halay,G minor,123.0
NL,Ik hou van jou,D major,172.0
DE,Aufrecht geh'n,E major,85.0
CY,Anna Maria Lena,A major,141.0
CH,Welche Farbe hat der Sonnenschein?,Eb major,92.0
NO,Lenge leve livet,F major,143.0
YU,Ciao amore,C major,143.0
AT,Einfach weg,A major,121.0
NO,La det swinge,F# major,148.0
DE,Für alle,,
SE,Bra vibrationer,C major,98.0
GB,Love Is...,,
IL,"Olé, Olé",,
IE,Wait Until the Weekend Comes,G minor,120.0
IT,"Magic, Oh Magic",C major,87.0
AT,Kinder dieser Welt,,
FI,Eläköön elämä,D minor,138.0
FR,Femme dans ses rêves aussi,F minor,156.0
DK,Sku' du spørg' fra no'en,C major,145.0
CH,"Piano, piano",D major,136.0
LU,"Children, Kinder, Enfants",,
ES,La fiesta terminó,F major,80.0
TR,Didai didai dai,D major,105.0
CY,To katalava arga,A major,132.0
GR,Miazoume,,
PT,"Penso em ti, eu sei",C major,80.0
BE,Laat me nu gaan,F major,129.0
BE,J'aime la vie,D major,139.0
CH,Pas pour moi,G minor,85.0
LU,L'amour de ma vie,D major,156.0
IE,You Can Count On Me,Eb major,135.0
SE,E' de' det här du kallar kärlek?,F major,122.0
DK,Du er fuld af løgn,E major,98.0
GB,Runner in the Night,G major,141.0
DE,Über die Brücke geh'n,A major,138.0
TR,Halley,G minor,94.0
ES,Valentino,,
YU,Željo moja,,
NO,Romeo,B major,123.0
NL,Alles heeft ritme,A major,156.0
PT,Não sejas mau para mim,C# minor,127.0
FI,Päivä kahden ihmisen,D major,143.0
IS,Gleðibankinn,E major,137.0
FR,Européennes,E major,105.0
AT,Die Zeit ist einsam,B major,150.0
IL,Yavoh Yom,D minor,88.0
CY,Tora zo,C major,135.0
IE,Hold Me Now,F major,151.0
DE,Laß die Sonne in dein Herz,,
IT,Gente di mare,Eb major,185.0
YU,Ja sam za ples,,
NL,Rechtop in de wind,F major,130.0
DK,Cathrine Herdorf,F# minor,134.0
CY,Aspro mavro,Bb major,133.0
IL,Shir Habatlanim,G minor,156.0
NO,Mitt liv,C# major,172.0
GR,Stop!,Bb major,90.0
BE,Pierre,C minor,146.0
SE,Boogaloo,Ab major,83.0
GB,Only the Light,E major,144.0
FR,Les mots d'amour n'ont pas de dimanche,D major,144.0
FI,Sata salamaa,G major,134.0
IS,Hægt og hljótt,C major,132.0
CH,Moitié moitié,F# major,150.0
PT,Neste barco à vela,C# minor,146.0
ES,No estás solo,F major,133.0
AT,Nur noch Gefühl,C# major,116.0
LU,Amour amour,F major,143.0
TR,Şarkım Sevgi Üstüne,E major,139.0
CH,Ne partez pas sans moi,,
GB,Go,B minor,84.0
DK,Ka' du se hva' jeg sa'?,Eb minor,155.0
LU,Croire,,
NO,For vår jord,D major,140.0
YU,Mangup,G major,118.0
IL,Ben Adam,C minor,143.0
IE,Take Him Home,G major,89.0
NL,Shangri,E major,143.0
FR,Chanteur de charme,D major,120.0
ES,La chica que yo quiero (Made in Spain),D major,103.0
SE,Stad i ljus,G major,147.0
IT,Ti scrivo,E major,128.0
DE,Lied für einen Freund,Eb major,127.0
TR,Sufi,A minor,118.0
IS,Sókrates,C major,172.0
GR,Kloun,C major,141.0
BE,Laissez briller le soleil,F major,141.0
PT,Voltarei,G major,185.0
FI,Nauravat silmät muistetaan,Eb major,139.0
AT,"Lisa, Mona Lisa",A major,92.0
YU,Rock Me,Eb major,147.0
GB,Why Do I Always Get it Wrong?,Bb major,141.0
DK,Vi maler byen rød,A minor,93.0
SE,En dag,C# major,94.0
AT,Nur ein Lied,E major,148.0
ES,Nacida para amar,C major,153.0
FI,La dolce vita,G minor,103.0
FR,J'ai volé la vie,Ab major,147.0
IT,Avrei voluto,D major,136.0
GR,To thiko sou asteri,C major,127.0
CY,Apopse as vrethoume,C major,99.0
IL,Derech Ha'melech,Bb major,165.0
CH,Viver senza tei,F# major,113.0
DE,Flieger,D major,116.0
NL,Blijf zoals je bent,C major,77.0
PT,Conquistador,D major,137.0
NO,Venners nærhet,G major,76.0
IE,The Real Me,,
